mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	1	1	1/16		1/16	1		2	50		0
1	1	0	0	3/4	1	1	1/16		1/16	1		3	57		0
1	1	1/16	1/16	3/4	1	1	1/16		1/16	1		5	59		1
1	1	1/16	1/16	3/4	1	1	1/16		1/16	1		-1	65		1
1	1	1/8	1/8	3/4	1	1	1/16		1/16	1		-1	53		2
1	1	1/8	1/8	3/4	1	1	1/16		1/16	1		0	60		2
1	1	3/16	3/16	3/4	1	1	1/16		1/16	1		2	62		3
1	1	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69		3
1	1	1/4	1/4	3/4	2	1	1/8		1/8	1		2	50		13
1	1	1/4	1/4	3/4	1	2	1/8		1/8	1		5	59		6
1	1	3/8	3/8	3/4	1	2	0	grace16	1/16	1		5	59		7
1	1	3/8	3/8	3/4	1	2	0	grace16	1/16	1		0	60		8
1	1	3/8	3/8	3/4	1	2	1/16		1/16	1		5	59		9
1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	65		4
1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69		4
1	1	7/16	7/16	3/4	1	2	1/16		1/16	1		3	57		10
1	1	1/2	1/2	3/4	2	1	1/8		1/8	1		2	50		14
1	1	1/2	1/2	3/4	1	2	1/8		1/8	1		5	59		11
1	1	5/8	5/8	3/4	1	2	1/8		1/8	1		0	60		12
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65		5
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		3	69		5
2	2	0	0	3/4	2	1	1/8		1/8	1		3	45		31
2	2	0	0	3/4	1	2	1/16		1/16	1		5	59		18
2	2	1/16	1/16	3/4	1	2	1/16		1/16	1		0	60		19
2	2	1/8	1/8	3/4	1	2	1/16		1/16	1		2	62		20
2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		3	69		15
2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		0	72		15
2	2	3/16	3/16	3/4	1	2	1/16		1/16	1		4	64		21
2	2	1/4	1/4	3/4	2	1	1/8		1/8	1		2	38		32
2	2	1/4	1/4	3/4	1	2	1/16		1/16	1		6	66		22
2	2	5/16	5/16	3/4	1	2	1/48		1/32	2/3		6	66		23
2	2	1/3	1/3	3/4	1	2	1/48		1/32	2/3		1	67		24
2	2	17/48	17/48	3/4	1	2	1/48		1/32	2/3		6	66		25
2	2	3/8	3/8	3/4	1	2	1/16		1/16	1		4	64		26
2	2	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69		16
2	2	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72		16
2	2	7/16	7/16	3/4	1	2	1/16		1/16	1		2	62		27
2	2	1/2	1/2	3/4	2	1	1/8		1/8	1		3	45		33
2	2	1/2	1/2	3/4	1	2	1/16		1/16	1		0	60		28
2	2	9/16	9/16	3/4	1	2	1/16		1/16	1		2	62		29
2	2	5/8	5/8	3/4	1	2	1/8		1/8	1		4	64		30
2	2	5/8	5/8	3/4	1	1	1/8		1/8	1		3	69		17
2	2	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72		17
3	3	0	0	3/4	2	2	1/8		1/8	1		4	40		47
3	3	0	0	3/4	1	1	1/16		1/16	1		4	64		34
3	3	1/16	1/16	3/4	1	1	1/16		1/16	1		6	66		35
3	3	1/8	1/8	3/4	1	2	1/8		1/8	1		5	59		45
3	3	1/8	1/8	3/4	1	2	1/8		1/8	1		4	64		45
3	3	1/8	1/8	3/4	1	1	1/16		1/16	1		8	68		36
3	3	3/16	3/16	3/4	1	1	1/16		1/16	1		3	69		37
3	3	1/4	1/4	3/4	2	2	1/8		1/8	1		4	52		48
3	3	1/4	1/4	3/4	1	1	1/8		1/8	1		6	66		38
3	3	3/8	3/8	3/4	1	1	0	grace16	1/16	1		6	66		39
3	3	3/8	3/8	3/4	1	1	0	grace16	1/16	1		8	68		40
3	3	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57		46
3	3	3/8	3/8	3/4	1	1	1/16		1/16	1		2	62		41
3	3	3/8	3/8	3/4	1	1	1/16		1/16	1		6	66		41
3	3	7/16	7/16	3/4	1	1	1/16		1/16	1		0	60		42
3	3	7/16	7/16	3/4	1	1	1/16		1/16	1		4	64		42
3	3	1/2	1/2	3/4	2	2	1/8		1/8	1		4	40		49
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1		2	62		43
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1		6	66		43
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		2	62		44
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		6	66		44
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		3	69		44
4	4	0	0	3/4	2	1	3/16		1/8	3/2		5	59		59
4	4	0	0	3/4	1	1	1/16		1/16	1		4	64		50
4	4	0	0	3/4	1	1	1/16		1/16	1		8	68		50
4	4	1/16	1/16	3/4	1	1	1/16		1/16	1		6	66		51
4	4	1/16	1/16	3/4	1	1	1/16		1/16	1		3	69		51
